GDP per capita;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Azerbaijan;2727;2678;2629;2582;2535;2489;2444;2717;3071;3357;3638;3595;3765;3864;3987;4254;4583;4597;4859;4723;5081;5285;5348;5155;5751;6012;6241;6458;6778;6819;7285;7416;7395;7952;8076;7994;8263;8351;8456;8315;8228;8205;8307;8469;8466;8435;8673;8679;8760;8814;8513;8323;6346;4806;3808;3320;3329;3488;3801;4047;4459;4863;5338;5891;6435;8052;10711;13243;14365;15394;15950;15754;15888;16593;16710;16986
Bahamas;7186;7451;7726;8011;8307;8614;8932;9261;9603;9957;10324;10705;11100;11509;11933;12373;12829;13302;13792;14300;14826;15618;16405;17248;18160;19156;20007;21048;21975;23154;21210;21018;19856;20957;17127;14320;14767;15790;17660;21812;22747;21634;22519;23560;23646;24154;24343;24818;24959;25109;24281;22841;21555;21222;21516;22119;22758;22971;23799;25193;25858;26078;26260;25387;25073;25397;25530;25412;24373;22950;22915;22689;22841;22518;22439;22818
Bahrain;5557;6178;6868;7635;8487;9434;10487;11656;12956;14401;16007;16689;17391;18107;18839;19556;20266;20938;21541;22078;22540;22941;23418;24022;24751;25662;26651;27726;28802;29943;31232;31102;33824;35688;36456;33509;41062;40589;36597;40292;44996;42034;38841;38395;41099;32131;29586;28401;31346;32515;35398;38315;39854;43894;42712;43244;43781;43798;44399;44619;45063;44169;43654;43914;44206;44031;43358;43251;42507;40825;40553;40083;40732;42444;43963;44138
Bangladesh;1174;1183;1165;1199;1174;1143;1072;1066;1066;1080;1027;1031;1046;1045;1046;972;1056;1017;979;1011;1048;1087;1062;1147;1138;1177;1169;1122;1202;1195;1226;1142;986;971;1069;1035;1059;1038;1082;1101;1079;1085;1071;1097;1131;1142;1169;1196;1208;1216;1274;1287;1327;1360;1383;1424;1457;1492;1538;1579;1632;1685;1721;1774;1840;1934;2038;2158;2265;2355;2459;2589;2725;2853;2991;3161
Barbados;2577;2616;2656;2696;2737;2779;2821;2864;2907;2952;2996;3149;3310;3478;3656;3842;4038;4243;4459;4687;4925;5289;5747;5432;5681;6309;6544;7223;7705;8261;9013;9109;9148;9277;10465;10203;10605;10981;11501;12364;12885;12557;11845;11793;12097;12115;12619;12828;13162;13524;12992;12573;11911;11995;12437;12587;12783;13564;14081;14400;14677;14244;14275;14485;14620;15128;15913;16099;16075;15334;15297;15336;15261;12867;12829;12984
Belarus;2146;2104;2063;2022;1982;1943;1905;2115;2387;2605;2819;2781;2908;2981;3070;3271;3518;3524;3719;3610;3878;4026;4066;3913;4357;4547;4712;4866;5099;5120;5461;5549;5523;5929;6108;6132;6429;6591;6769;6752;6776;6855;7039;7279;7381;7459;7780;7896;8084;8251;8084;7983;7201;6639;5869;5275;5441;6087;6630;6879;7300;7704;8144;8778;9851;10851;12010;13103;14488;14549;15703;16603;16907;17085;17349;17415
Belgium;7097;6030;6157;4965;5014;5328;8351;9365;9793;10035;10309;10790;10688;11038;11390;11728;12053;12252;11919;12137;12608;13122;13689;14163;14995;15360;15721;16225;16816;17868;18903;19548;20504;21700;22550;22196;23418;23546;24202;24756;25847;25517;25873;25879;26527;26792;27189;27813;29092;29980;30798;31247;31596;31170;32077;32774;33217;34377;34992;36209;37404;37620;38036;38214;39356;39881;40661;41575;41641;40225;40764;40946;40687;40607;40885;41240
Belize;1613;1637;1661;1685;1710;1734;1760;1786;1812;1838;1865;1879;1892;1906;1920;1934;1949;1963;1977;1992;2006;2032;2056;2082;2114;2153;2196;2248;2362;2435;2509;2570;2797;2911;3259;3315;3244;3370;3539;3701;4148;4091;3973;3809;3763;3705;3777;4083;4344;4820;5166;5594;6154;6424;6310;6209;6137;6177;6220;6568;7215;7373;7548;8042;8203;8202;8360;8240;8293;8145;8209;8178;8287;8215;8418;8501
Benin;1154;1163;1172;1182;1191;1200;1210;1219;1229;1239;1248;1226;1203;1148;1159;1136;1114;1092;1109;1127;1137;1149;1085;1110;1159;1191;1206;1189;1204;1210;1205;1180;1251;1248;1124;1141;1158;1191;1195;1255;1338;1377;1484;1380;1447;1510;1497;1429;1427;1352;1362;1370;1359;1386;1364;1398;1414;1451;1466;1500;1525;1570;1586;1594;1590;1584;1592;1616;1646;1641;1637;1643;1685;1733;1779;1830
Bermuda;7644;7993;8359;8742;9141;9560;9997;10454;10932;11431;11954;12638;13362;14126;14935;15789;16693;17648;18658;19725;20853;21331;21789;21544;23383;23943;26935;29965;30060;30559;31940;32748;33062;33263;33301;34314;36119;36451;37077;39853;40660;38250;38851;38854;37552;39853;41112;42539;42481;42255;40553;39322;39584;40557;40518;41999;42817;44514;45912;47200;51140;54245;53097;54550;55453;56017;58785;60117;60676;57152;56395;54985;52137;50669;48728;47081
Bhutan;822;825;827;830;833;835;838;841;844;846;849;859;869;879;889;899;910;920;931;941;952;963;974;985;997;1008;1020;1031;1043;1055;1067;1059;1034;1011;1026;957;1008;1051;1090;1108;1131;1228;1227;1297;1345;1385;1534;1948;2004;2111;2332;2326;2463;2557;2723;2930;3072;3184;3292;3459;3596;3780;4062;4247;4373;4565;4767;5507;5663;5934;6516;6909;7138;7167;7500;7983
Bolivia;2689;2715;2742;2769;2797;2824;2843;2861;2891;2919;3216;3374;3405;3020;3019;3113;2866;2713;2717;2650;2703;2699;2787;2899;2971;3046;3191;3312;3510;3581;3678;3727;3823;3988;4093;4260;4484;4560;4602;4496;4363;4322;4064;3819;3795;3706;3525;3551;3613;3638;3740;3845;3817;3887;3975;4068;4152;4264;4384;4312;4330;4315;4335;4367;4464;4578;4716;4850;5066;5152;5279;5462;5650;5934;6153;6295
Bosnia and Herzegovina;1280;1256;1233;1210;1188;1166;1144;1123;1308;1404;1284;1304;1174;1318;1360;1412;1354;1550;1583;1742;1815;1858;1853;2004;2152;2164;2234;2227;2229;2431;2500;2732;2768;2803;3100;3036;3064;3217;3325;3480;3582;3579;3538;3504;3528;3494;3572;3471;3363;3263;2974;2613;1970;1466;1574;1976;3771;4996;5609;5965;6158;6354;6660;6929;7369;7751;8242;8820;9316;9063;9145;9248;9149;9387;9516;9833
Botswana;771;778;784;790;796;803;809;815;822;828;835;851;862;877;893;907;920;933;944;960;970;989;1002;1019;1038;1055;1142;1240;1347;1455;1567;1810;2317;2722;3152;2969;3354;3298;3736;3920;4292;4520;4679;5224;5608;5822;6065;6393;7173;7856;8075;8430;8436;8368;8449;8823;9121;9637;9507;10228;10250;10115;10577;10923;11085;11460;12241;13170;13858;12680;13642;14341;14905;16155;16725;17196
Brazil;2308;2351;2214;2337;2451;2457;2662;2643;2811;2932;3030;3074;3191;3228;3366;3543;3521;3668;3935;4184;4433;4663;4823;4697;4707;4671;4836;4888;5215;5550;5930;6463;7082;7904;8362;8595;9274;9512;9759;10187;10922;10224;10094;9590;9913;10495;11079;11267;11062;11226;10331;10315;10104;10413;10802;11108;11178;11382;11250;11139;11461;11446;11638;11627;12135;12373;12732;13364;13906;13749;14660;15101;15234;15518;15412;15441
British Virgin Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brunei;11782;13727;15992;18631;21706;25288;29461;34323;39986;46584;54271;55126;55994;56876;57771;58680;59604;60541;61493;62460;63442;64439;65451;66479;67522;68582;69658;70751;71861;72988;74132;78230;82612;86923;93231;89842;103744;110729;113988;134864;121356;94314;95207;93016;90992;87154;82425;81711;80275;77184;77076;77275;78688;76750;77038;78406;78661;75654;73498;74041;74475;74868;76130;76737;75596;74441;76287;75054;72351;69924;70636;71991;71664;69474;72219;73003
Bulgaria;2590;2621;2475;2531;2320;1794;1956;2132;2323;2533;2761;3325;3165;3486;3385;3590;3557;3895;4192;4485;4866;5133;5506;5711;6110;6432;6891;7216;7296;7592;7971;8186;8534;8824;9040;9736;9987;9844;10048;10425;10088;10325;10631;10408;10730;10388;10643;10646;10567;10367;9333;8630;8089;8033;8207;8479;8659;8617;8976;8516;9075;9596;10220;10829;11602;12359;13228;14430;15368;14692;14886;15278;15443;15695;16048;16371
Burkina Faso;529;529;528;528;527;527;526;526;525;525;524;537;550;563;576;590;605;619;634;649;659;681;717;702;711;731;726;781;794;799;790;810;830;774;747;703;683;714;778;766;759;771;767;738;729;801;900;857;898;858;821;872;851;857;845;869;938;970;1012;1057;1046;1084;1099;1150;1167;1232;1271;1304;1358;1358;1431;1481;1532;1588;1606;1654
Burundi;492;493;495;496;497;498;500;501;502;503;505;525;533;546;567;576;588;601;608;633;632;531;567;582;603;610;623;665;645;627;782;827;753;806;788;780;826;909;879;856;887;945;922;929;908;994;1014;1032;1044;1037;1051;1075;1062;975;921;835;758;737;763;744;723;720;731;700;709;692;704;713;723;723;725;731;737;747;758;777
Cambodia;1086;1088;1089;1091;1093;1095;1097;1098;1100;1102;1104;1114;1156;1140;1242;1187;1311;1363;1394;1491;1539;1484;1562;1634;1548;1579;1608;1647;1678;1660;1643;1539;1440;1161;1101;1096;1116;976;1003;891;839;822;792;791;790;787;792;920;993;1025;996;1055;1096;1004;1058;1091;1117;1148;1176;1285;1368;1448;1516;1617;1755;1957;2136;2321;2442;2409;2513;2646;2790;2942;3093;3267
Cameroon;1298;1311;1325;1339;1354;1368;1382;1397;1412;1427;1442;1479;1517;1554;1592;1632;1671;1710;1750;1790;1813;1808;1836;1874;1910;1917;1973;1992;2084;2146;2169;2190;2238;2224;2274;2338;2324;2386;2444;2505;2671;3034;3188;3319;3476;3675;3821;3526;3271;2895;2768;2586;2434;2177;2160;2188;2233;2289;2338;2369;2404;2447;2480;2514;2540;2532;2547;2564;2571;2554;2571;2610;2661;2739;2829;2897
Canada;8871;9996;11617;11993;12287;11773;11437;11694;11654;11650;12022;12419;12911;13158;12687;13513;14253;14177;14056;14289;14414;14545;15276;15752;16464;17243;18022;18240;18900;19614;19842;20688;21532;22797;23405;23593;24563;25095;25853;26665;26678;27171;26031;26525;27781;29016;29482;30288;31356;31550;31163;30090;29977;30424;31505;32101;32290;33310;34389;35810;37314;37563;38270;38621;39436;40284;41012;41432;41468;39884;40773;41567;41865;42213;42817;43294
Cape Verde;793;792;790;789;788;786;785;784;782;781;779;784;790;795;779;778;782;751;740;797;826;849;867;882;895;905;915;923;930;936;942;856;805;788;757;771;759;749;814;886;1189;1269;1276;1366;1385;1469;1474;1538;1546;1589;1609;1597;1728;1827;2120;2361;2568;2794;3082;3363;3772;3784;3910;4006;4352;4604;4937;5666;6031;5941;6005;6206;6224;6232;6343;6514
Cayman Islands;6449;6742;7048;7368;7702;8052;8417;8799;9198;9615;10051;10507;10983;11481;12002;12546;13114;13709;14330;14979;15658;16367;17108;17883;18693;19539;20424;21349;22315;23325;24381;24132;24808;26809;27775;28751;29750;30787;31934;33318;34998;37040;39420;43261;44985;44803;46244;48199;52376;54254;58535;56634;55811;55971;56412;56588;56861;57445;58314;58007;56574;55159;54590;54335;53625;55970;56971;57734;56832;51952;49795;49884;49297;49345;49118;49009
Central African Republic;1039;1055;1072;1089;1107;1125;1143;1161;1180;1198;1218;1245;1272;1299;1325;1352;1377;1403;1428;1452;1436;1461;1393;1360;1353;1332;1294;1315;1297;1332;1358;1285;1227;1256;1192;1181;1199;1261;1248;1145;1103;1088;1077;984;1019;998;991;942;933;939;944;918;839;821;841;881;827;852;873;887;848;870;887;825;860;853;869;892;894;892;901;913;932;584;578;599
Chad;1035;1052;1070;1089;1107;1126;1145;1165;1185;1205;1225;1254;1282;1310;1339;1369;1398;1428;1459;1488;1475;1470;1522;1474;1409;1387;1334;1315;1281;1341;1338;1334;1216;1131;1258;1441;1387;1253;1217;946;891;880;884;983;994;1202;1122;1058;1185;1221;1111;1169;1223;999;1066;1044;1032;1054;1090;1045;998;1073;1120;1237;1592;1803;1755;1755;1753;1772;1953;1896;2003;2055;2141;2191
Channel Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chile;4625;4484;4600;4638;4633;4935;5254;4598;5263;5056;5196;5279;5505;5811;5519;5613;5584;6016;6194;5699;6020;6155;6293;6538;6537;6451;7026;7114;7231;7364;7382;7906;7674;7123;7070;6058;6168;6675;7122;7603;8088;8454;7182;6867;7160;7193;7483;7851;8288;9016;9193;9747;10744;11287;11725;12759;13498;14186;14450;14159;14614;14925;15075;15499;16260;16985;17554;18278;18698;18329;19204;20141;21050;21746;21967;22465
China;841;782;727;676;629;585;570;556;542;529;535;582;631;692;694;706;736;780;889;958;889;558;567;635;713;772;826;719;669;732;848;876;843;894;888;920;891;904;1016;1059;1073;1099;1175;1229;1456;1557;1604;1652;1597;1474;1516;1634;1845;2078;2323;2551;2775;3000;3205;3419;3678;3955;4285;4685;5127;5675;6360;7225;7880;8565;9430;10274;11017;11805;12609;13334
Christmas Island;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cocos Island;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
