Under five mortality;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
China;332.42;330.86;329.3;327.76;326.22;324.69;323.16;321.64;320.13;318.63;317.13;311.71;306.39;301.16;296.02;290.96;270.32;251.14;233.32;268.45;308.99;261.86;167.82;148.14;130.77;115.43;120.8;126.42;132.3;119.1;113.3;107.7;102.1;96.5;90.9;85.2;79.8;74.6;70;65.9;62.4;59.6;57.4;55.7;54.6;54;53.7;53.7;53.9;54;53.8;53.3;52.4;51;49.3;47.5;45.6;43.6;41.5;39.3;36.9;34.3;31.6;28.9;26.3;24;21.9;20.1;18.5;17;15.7;14.5;13.4;12.3;11.4;10.7
Christmas Island;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cocos Island;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colombia;228.05;242.79;250.03;255.34;251.83;244.68;242.86;224.41;216.95;213.22;194.44;186.92;170;186.94;175.96;165.62;155.89;146.73;138.11;130;127.3;124.6;122;119.4;116.7;114;111.1;108;104.6;101.1;97.6;94;90.4;86.7;82.8;78.7;74.3;69.9;65.5;61.3;57.4;53.7;50.3;47.3;44.6;42.3;40.3;38.7;37.4;36.2;35.1;34.1;33.1;32.1;31;30;28.9;27.9;26.9;26;25.1;24.3;23.6;22.9;22.2;21.5;20.9;20.3;19.7;19.1;18.5;18;17.4;16.9;16.4;15.9
Comoros;379.92;378.97;378.04;377.1;376.15;375.22;356.11;337.66;319.86;302.69;286.06;289.84;293.68;297.56;301.5;305.48;309.53;313.62;317.77;321.97;326.23;313.2;300.7;288.69;277.16;266.1;255.47;245.27;235.48;226.07;227.1;221.8;217.1;212.4;207.7;202.7;197.7;192.3;186.8;181.1;175.3;169.4;163.6;157.9;152.4;147.2;142.2;137.6;133.2;129.1;125.1;121.2;117.2;113.6;110.5;107.8;105.6;104;102.7;101.8;101.1;100.8;100.8;100.4;99.4;97.8;95.7;93.5;91.2;88.5;86;83.3;80.9;78.3;75.9;73.5
Congo, Dem. Rep.;377.36;367.62;359.19;349.85;340.67;331.65;323.89;315.22;306.7;298.38;291.17;288.56;285.96;283.39;280.84;278.31;275.8;273.32;270.85;268.41;265.99;264.36;262.75;261.15;259.55;257.96;256.38;254.81;253.25;251.7;248.1;244.8;241.4;237.7;234.2;230.3;226.4;222.7;219;215.4;212;208.8;205.7;202.8;200.1;197.7;195.3;193;190.8;188.5;186.5;184.3;182.3;180.3;178.3;176.4;174.1;171.5;168.4;164.9;161;156.8;152.4;147.8;143.2;138.4;133.5;128.9;124.5;120.1;116.1;112.2;108.5;104.8;101.7;98.3
Congo, Rep.;378.17;377.45;376.72;376;375.28;374.55;353.32;332.89;313.24;298.25;283.97;270.38;257.43;245.11;233.38;222.21;211.57;201.44;191.8;188.3;184.4;180.2;176;172.3;168.3;163.9;159.4;155;150.9;147;143.1;139.5;135.7;132.2;129.3;126.3;123.3;120.5;117.7;114.7;111.9;109.1;106.2;103.2;100.2;97.5;95.3;93.7;92.8;92.8;93.6;95.2;97.4;100.2;103.8;107.7;111.9;116;119.3;121.4;121.6;119.7;115.6;109.8;102.9;95.3;87.4;79.9;72.6;66.1;60.6;56.1;52.6;49.6;47.1;45
Cook Is;;;;;;;;;;;;193.1;182.8;173;163.7;154.5;145.8;137.1;128.5;120.3;112.2;104.5;96.9;89.8;83.1;76.9;71;65.4;60.4;55.8;51.7;48.1;44.9;42.3;40.1;38.3;36.8;35.5;34.3;33.2;32.1;31.1;30.1;29.1;28.2;27.3;26.5;25.8;25.3;24.8;24.4;24;23.6;23.2;22.6;21.8;20.9;19.8;18.7;17.7;16.8;16;15.2;14.4;13.7;13;12.2;11.6;10.9;10.3;9.9;9.4;9.1;8.7;8.4;8.1
Costa Rica;227.98;219.5;211.19;202.2;194.23;186.43;178.77;171.24;163.14;155.96;148.93;146.34;141.62;137.53;132.62;127.65;123.1;118.71;114.48;110.4;106.47;102.67;99.01;95.49;92.08;88.8;85;82.3;80.4;78.8;76.4;71.8;64.9;57.8;51.8;46.3;40.3;34;28.9;25.6;23.8;23.1;22.9;22.8;22.4;21.6;20.5;19.3;18.3;17.5;16.9;16.5;16.1;15.8;15.5;15.2;15;14.8;14.4;13.8;13;12.2;11.6;11;10.7;10.4;10.3;10.3;10.3;10.2;10.2;10.1;10.1;10;9.9;9.7
Cote d'Ivoire;388.69;387.62;386.57;385.5;384.44;383.39;382.32;378.66;375.03;371.44;367.88;364.36;360.87;357.41;353.99;350.6;342.4;334.4;326.3;318.5;310.6;302.9;295.4;288.1;280.9;274;267.3;260.6;253.9;247.3;240.6;233.6;225.9;217.6;209.1;200.3;191.8;184;177;171;166.1;162.2;158.9;156.3;154.3;152.7;151.7;151;150.5;150.2;150;150;149.8;149.6;149.3;148.9;148.3;147.3;146;144.3;142.3;139.8;137.2;134.4;131.3;128;124.7;121.3;116.9;113.5;110.1;107.2;104.2;100.7;97.2;94.4
Croatia;184.46;177.13;170.01;163.05;156.22;149.55;143.01;136.66;130.45;124.38;117.8;114.93;112.14;109.41;106.75;104.15;101.61;99.14;96.72;94.36;92.06;84.61;77.76;71.46;65.67;60.35;55.46;50.97;46.84;43.04;39.55;37.43;35.42;33.52;31.73;30.02;28.41;26.89;25.44;24.08;22.78;21.9;21;20;19.1;18;17;15.8;14.8;13.7;12.9;12.1;11.4;10.9;10.4;10;9.6;9.3;8.9;8.6;8.3;8;7.7;7.4;7.1;6.8;6.5;6.2;5.9;5.6;5.4;5.1;4.9;4.7;4.5;4.3
Cuba;110.29;106.22;102.3;98.52;78.12;95.24;52.53;53.96;49.67;48.26;44.11;49.67;48.26;48.26;41.39;45.49;42.74;46.87;47.57;48.29;49.02;49.75;50.5;47.3;45.9;45;44.7;45;45.3;44.8;43.1;39.9;35.9;32.4;30.4;29.1;27.3;24.7;22.3;20.8;20.1;19.9;19.7;19.6;19.1;18.4;17.4;16.4;15.2;14.2;13.3;12.4;11.7;11.2;10.9;10.8;10.5;10;9.4;8.9;8.4;8;7.7;7.4;7.1;6.8;6.5;6.4;6.3;6.4;6.6;6.6;6.4;6.1;5.8;5.6
Cyprus;194.19;187.21;180.31;172.76;159.29;145.56;132.39;120.41;108.26;96.64;86.18;79.26;72.9;67.05;61.66;56.71;52.16;47.97;44.12;40.58;37.32;37.18;37.05;36.91;36.77;36.64;36.5;36.37;36.24;36.1;35.97;34.47;33.04;31.66;30.35;29.08;27.87;26.71;25.6;22.5;20.8;19.2;17.7;16.1;14.7;13.4;12.4;11.8;11.4;11.2;11.1;10.9;10.5;10.1;9.6;9;8.5;8;7.5;7;6.5;6.1;5.7;5.4;5.1;4.8;4.6;4.4;4.2;4;3.9;3.8;3.7;3.6;3.5;3.4
Czech Republic;127.45;122.45;117.65;113.03;108.6;104.33;100.23;96.3;92.51;88.87;85.38;76.15;59.2;47.46;40.52;37.16;34.1;33.23;31.06;27.63;26.4;25.75;27.75;26.88;25.24;29.05;27;26.74;26.28;27.38;25.22;25.31;24.01;24.35;23.5;22.57;22.05;21.56;19.78;18.18;18.55;18.4;18;17.6;17.3;17;16.6;16.2;15.6;15.1;14.5;14;13.2;12.3;11.2;10.2;9.2;8.4;7.6;7;6.6;6.2;6;5.7;5.5;5.2;5;4.7;4.5;4.3;4.1;3.9;3.8;3.6;3.5;3.4
Czechoslovakia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Denmark;58.98;64.73;57.58;54.35;59.06;58.34;54.19;45.92;40.57;38.84;34.1;33.4;32.6;31.6;30.5;29.3;28.1;27.1;26.2;25.5;25;24.5;23.8;23;22.1;21.1;20.1;19.1;18.1;17.4;16.6;15.8;14.9;13.9;13.1;12.3;11.6;11.1;10.6;10.3;10;9.7;9.6;9.6;9.6;9.7;9.7;9.7;9.6;9.3;8.9;8.4;7.9;7.4;6.9;6.5;6.2;6;5.8;5.7;5.6;5.5;5.4;5.3;5.1;4.9;4.7;4.5;4.3;4.2;4;3.9;3.8;3.7;3.6;3.5
Djibouti;406.36;405.41;404.45;403.5;402.54;401.6;375.69;351.05;327.53;305.05;283.51;281.86;277.31;273.43;268.3;263.79;258.09;252.12;245.02;238.94;232.9;226.15;220.3;214.51;208.78;202.3;195.89;193.62;191.37;189.15;186.95;184.78;182.64;180.51;178.42;176.35;174.3;169.4;164.7;160.1;155.8;151.7;147.4;143.3;139.3;135.3;131.7;128.3;125.1;122;119.4;117;115;113.2;111.5;110.2;108.5;106.8;104.9;102.9;100.8;98.4;96;93.5;91;88.5;86;83.5;81;78.5;76.1;73.9;71.7;69.5;67.4;65.3
Dominica;;;;;;;;;;;;;;;;;;;;;139;127.2;116.5;107.2;98.9;91.8;85.5;79.9;74.7;69.5;63.9;57.9;51.7;45.5;39.7;34.5;30.1;26.5;23.6;21.4;19.8;18.6;17.9;17.4;17.2;17;17;17;17;17.1;17.1;17.1;17;16.9;16.7;16.5;16.3;16;15.8;15.5;15.3;15.2;15.1;15.1;15.3;15.6;16;16.5;17.1;17.9;18.8;19.6;20.4;21;21.2;21.2
Dominican Republic;324.18;301.22;279.89;260.07;241.66;224.54;208.64;193.86;180.12;167.36;155.5;155.1;154.8;154.2;153.8;153.3;152.6;151.8;150.7;149.5;147.8;146;143.9;141.4;138.8;136;133.2;130.3;127.5;124.7;121.8;118.7;115.4;111.8;108.2;104.5;100.9;97.4;94;90.7;87.5;84.3;81.3;78.3;75.5;72.7;70.1;67.5;65;62.6;60.2;57.8;55.5;53.3;51.2;49.2;47.3;45.6;44;42.5;41.3;40.1;39.1;38.3;37.5;36.8;36.1;35.5;35;34.4;33.9;33.4;32.9;32.3;31.6;30.9
East Germany;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ecuador;357.52;342.25;327.41;312.99;298.99;285.35;276.44;267.81;259.45;251.35;243.51;235.91;228.54;221.41;214.5;207.8;201.7;195.8;190.1;184.5;179.2;174.1;169.2;164.3;159.9;155.6;151.8;148.2;144.9;141.4;138;134.3;130.3;126;121.3;116.6;111.8;107.2;102.6;98.3;93.9;89.5;85;80.7;76.6;72.7;69.1;65.7;62.6;59.7;56.9;54.1;51.5;48.8;46.3;43.9;41.6;39.6;37.7;35.9;34.4;33.1;31.9;30.9;30;29.1;28.3;27.5;26.8;26;25.2;24.5;23.7;23;22.3;21.6
Egypt;358.57;343.35;403.07;410.91;367.09;379.1;377.2;375.31;373.43;371.55;369.69;367.83;365.98;364.15;362.32;360.5;350.8;341.3;331.7;322.2;312.8;302.9;293.1;283.5;274.8;266.9;260.3;254.8;250.2;246.4;242.9;239.4;235.2;229.7;222.9;214.7;205.7;196.2;186.6;177;167.6;158.1;148.4;138.5;128.5;118.8;110.1;102.5;96;90.6;85.9;81.7;77.5;73.3;68.9;64.6;60.4;56.5;52.8;49.5;46.5;43.8;41.4;39.2;37.3;35.6;34.1;32.7;31.4;30.2;29;27.9;26.8;25.8;24.8;24
El Salvador;335.13;326.78;318.56;309.44;301.5;293.7;283.78;274.2;264.94;255.99;247.34;238.99;230.92;223.12;215.58;208.3;204;199.5;195.1;191;186.9;183.3;179.6;176;172.7;169.5;166.4;163.5;160.7;158;155.1;152.1;148.9;145.5;141.7;137.4;132.7;127.8;122.4;116.7;110.7;104.5;98.2;92;86;80.4;75.2;70.6;66.5;62.8;59.4;56.3;53.2;50.3;47.4;44.5;41.7;39.1;36.6;34.4;32.4;30.6;29;27.5;26.1;24.8;23.6;22.6;21.6;20.8;20;19.3;18.6;18;17.4;16.8
Equatorial Guinea;407.22;406.17;405.13;404.19;403.25;402.31;391.74;381.36;371.2;360.11;350.36;348.43;344.35;339.85;334.93;329.64;323.98;317.94;311.55;305.26;299.01;292.8;286.69;280.57;274.46;268.37;262.28;256.16;250.41;244.21;239.18;234.51;230.18;229.33;228.48;227.64;226.79;225.95;225.12;224.28;234.78;228.74;221.8;217.5;213.1;209.1;205.1;201.4;197.5;193.6;189.5;185.8;182;178.3;174.6;171.2;167.6;163.9;160.1;156.1;152.1;147.9;143.8;139.6;135.4;131.2;126.9;122.7;118.4;114.6;110.9;107.3;103.7;100.3;97.4;94.1
Eritrea;403.7;402.89;402.08;401.27;400.46;399.65;385.66;373.19;359.9;348.04;335.38;333.62;331.85;328.59;324.94;320.91;316.47;311.65;306.44;301.27;292.35;283.7;275.31;267.17;259.26;251.59;244.15;236.92;229.91;223.11;221.4;219.48;217.66;215.54;213.1;208.8;204.7;200.8;197.1;193.9;191;188.2;185.3;182.3;179.1;175.7;171.8;167.5;162.7;157.3;151.4;145;138.2;131.2;124.1;117.3;110.8;104.8;99.2;94;89.1;84.6;80.4;76.5;72.9;69.5;66.3;63.2;60.4;57.9;55.6;53.5;51.6;49.7;48.1;46.5
Eritrea and Ethiopia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Estonia;133.04;129.21;125.4;121;117.31;113.03;109.47;105.97;101.89;98.5;91.06;84.17;77.81;71.93;66.5;61.47;56.82;52.53;48.56;44.89;45.06;39.87;35.88;35.58;36.22;29.98;28.76;27.82;28;25.93;27.16;26.31;24.14;24.33;26.68;26.22;26.44;27.2;25.52;27.69;27.1;26.2;25.3;24.5;23.8;23.1;22.6;22;21.5;20.9;20.2;19.5;18.7;17.8;16.8;15.8;14.8;13.8;12.8;11.9;11;10.2;9.4;8.6;7.9;7.3;6.7;6.1;5.5;5;4.5;4.1;3.7;3.4;3.2;3
Ethiopia;409;407.98;406.97;405.95;404.94;403.92;394.43;385.09;374.8;365.85;357.05;353.92;349.71;343.99;336.85;329.36;320.53;311.65;303.01;294.62;286.45;278.51;270.79;263.29;255.99;248.9;242;241.5;241;241.2;241.1;241.2;241.1;241;241;241.5;242.1;242.7;243;242.8;241.6;239.3;236;232;227.6;223.4;219.3;215.5;212;208.4;204.6;200.2;195;188.9;182;175;168.3;162;156.2;150.8;145.1;139;132.2;124.8;117;109.1;101.3;93.8;86.9;80.8;75.7;71.3;67.7;64.6;61.8;59.2
Faeroe Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Falkland Is (Malvinas);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fiji;310.91;286.19;263.42;242.47;223.18;205.43;189.08;174.03;160.18;147.44;135.7;125.9;116.9;108.7;101.3;94.8;89;83.7;79.2;75.2;71.8;68.7;66;63.8;61.7;60;58.5;57.3;56.4;55.8;55.3;54.9;54.6;54.2;53.6;52.8;51.6;50;48.2;46.1;44;42;40;38.3;36.8;35.4;34.1;33;31.8;30.8;29.8;28.8;28;27.2;26.6;26.2;25.8;25.4;25.1;24.8;24.5;24.2;23.9;23.7;23.7;23.7;23.8;23.9;24;24;23.9;23.7;23.5;23.2;22.9;22.4
Finland;114.5;91.25;75.67;79.01;103.53;98.66;75.67;75.48;64.35;57.57;50.96;42;40.5;38.9;37.3;35.7;34;32.3;30.4;28.6;26.8;25.2;23.8;22.5;21.3;20.2;19.3;18.4;17.6;16.9;16.1;15.4;14.6;13.8;13.1;12.2;11.4;10.6;9.9;9.2;8.7;8.2;7.9;7.6;7.4;7.3;7.3;7.2;7.1;6.9;6.7;6.4;6.1;5.8;5.5;5.2;4.9;4.7;4.6;4.4;4.3;4.2;4.1;4;3.9;3.8;3.6;3.5;3.3;3.2;3;2.9;2.7;2.6;2.4;2.3
France;103.68;84.32;86.15;89.92;93;120.29;85.57;72.49;56.81;61;57.1;53.4;49.7;46.3;43.1;40.2;37.4;34.8;32.4;30.3;28.5;27;25.7;24.5;23.4;22.3;21.4;20.6;19.9;19.1;18.2;17.4;16.6;15.9;15.4;15;14.5;13.9;13.3;12.8;12.4;11.9;11.5;11.1;10.7;10.3;10;9.8;9.6;9.3;9;8.6;8.1;7.6;7;6.5;6.1;5.8;5.6;5.5;5.4;5.3;5.1;4.9;4.7;4.6;4.5;4.4;4.3;4.3;4.3;4.3;4.3;4.4;4.4;4.3
French Guiana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46.99;44.07;41.21;38.58;36.24;34.25;32.57;31.08;29.71;28.41;27.17;25.99;24.88;23.83;22.85;21.92;21.03;20.17;19.33;18.52;17.71;16.9;16.1;15.31;14.55;13.83;13.17;12.6;12.11;11.72;11.41;11.2;11.05;10.95;10.86;10.78
French Polynesia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.95;44.96;40.04;35.41;31.24;27.71;24.94;22.9;21.47;20.56;19.97;19.47;18.85;17.99;16.83;15.44;13.97;12.61;11.51;10.74;10.27;10.08;10.03;10.03;10.02;9.96;9.82;9.61;9.34;9.01;8.64;8.24;7.84;7.46;7.11;6.8
Gabon;397.6;396.66;395.72;394.78;393.82;392.88;378.94;366.51;353.27;340.37;327.78;324.9;317.86;311.55;305.92;299.95;294.67;289.06;283.11;277.28;271.47;265.72;258.26;250.87;241.9;233.06;222.77;212.7;203.93;194.25;185.03;176.25;167.88;159.92;152.33;145.1;138.21;131.65;125.4;121.1;116.8;112.7;108.8;105.4;102.3;99.6;97.4;95.7;94.2;93.1;92.2;91.3;90.4;89.5;88.6;87.8;87;86.2;85.4;84.6;83.6;82.3;80.8;79.2;77.3;75.3;73.2;70.7;68;65.5;63;60.5;57.9;56.1;53.9;52.2
Gambia;419;417.89;416.78;415.68;414.57;413.46;409.85;407.71;405.57;403.45;401.34;399.24;397.15;395.07;393;390.95;388.9;382.1;375.5;368.6;362.4;356.3;350.3;344.1;338.3;332.4;326.5;320.5;314.6;308.8;302.6;296.4;290;283.5;276.9;270.4;263.9;257.5;251.2;244.9;238.5;231.9;225.3;218.3;211.2;204;196.8;189.9;183.1;176.6;170.2;164.2;158.5;152.9;147.5;142.4;137.4;132.5;127.9;123.2;118.8;114.5;110.2;106;101.9;97.9;94.2;90.6;87.4;84.3;81.4;78.6;76.1;73.6;71.1;68.9
Georgia;172.6;167.05;161.69;156.49;151.46;146.6;141.89;137.33;132.92;128.65;124.51;122.84;119.87;116.76;113.56;110.26;106.86;103.41;99.87;96.4;92.43;90.61;88.83;87.08;85.37;83.69;82.04;80.42;78.84;77.29;75.77;74.28;72.82;71.38;69.98;68.6;66.3;64.3;62.3;60.2;58.3;56.5;54.7;53.2;51.8;50.7;49.8;49.1;48.6;48.1;47.7;47.2;46.6;46;45.2;44.3;43;41.5;39.8;37.8;35.7;33.4;31.1;28.9;26.7;24.6;22.7;20.9;19.3;17.9;16.6;15.5;14.4;13.4;12.6;11.9
Germany;87.29;84.24;81.3;78.46;75.71;73.07;70.52;68.05;65.68;63.38;61.17;59.03;56.97;54.98;53.06;51.21;49.42;47.69;46.03;44.42;42.87;40.6;38.45;36.42;34.49;32.67;30.94;29.31;27.2;26.4;25.7;24.9;24;23.1;22;20.8;19.5;18.3;17.1;16;15;14.1;13.2;12.5;11.8;11.1;10.6;10.1;9.5;9;8.5;8;7.6;7.2;6.8;6.5;6.2;5.9;5.7;5.5;5.4;5.2;5.1;5;4.9;4.7;4.6;4.5;4.4;4.3;4.2;4.1;4;3.9;3.8;3.7
Ghana;318.1;311.5;305.1;298.6;292.5;286.5;280.7;274.9;269;262.9;256.7;250.8;244.9;239.5;234.4;229.5;225;220.9;217.3;213.9;210.9;208.6;206.7;205;203.8;203.1;202.9;202.7;202.8;202.5;201.9;200.7;198.5;195.3;191;185.9;180.7;175.8;171.6;168.4;166.2;164.6;163.1;161.3;158.5;154.6;149.7;144.1;138.2;132.6;127.4;123.1;119.7;117.1;115.1;113.4;111.6;109.5;106.9;104;100.7;97.3;94.2;91.3;88.7;86.5;84.4;82.2;79.9;77.4;74.7;71.9;69.2;66.5;64;61.6
Gibraltar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Greece;145.45;130.25;116.65;104.46;93.55;83.78;75.03;67.19;60.17;53.88;44.05;56.78;62.68;58.25;63.1;59.8;59.6;59.1;58.3;57.1;55.8;54.3;52.7;51.1;49.4;47.7;46.2;44.6;42.7;40.1;37.5;35.4;34.1;33.2;32.4;31.4;30.1;28.6;26.8;25.1;23.4;21.9;20.6;19.5;18.4;17.4;16.4;15.3;14.3;13.3;12.5;11.9;11.4;10.9;10.5;10.1;9.7;9.3;8.8;8.3;7.8;7.3;6.8;6.3;5.9;5.5;5.2;5;4.9;4.8;4.7;4.6;4.5;4.3;4.2;4.1
Greenland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grenada;168.76;167.52;166.3;165.08;163.87;162.94;162.01;161.09;160.17;159.26;158.35;155.96;151.35;147.36;142.5;138.25;133.89;129.42;124.86;121.07;116.68;113.01;109.38;105.81;102.28;98.79;95.35;92.5;89.25;86.71;84.31;81.52;79.4;77.41;75.9;68.58;61.96;55.98;50.57;45.69;40.19;38.72;37.31;35.95;27.5;27;26.5;25.9;25.2;24.3;23.3;22.3;21.2;20.2;19.3;18.5;17.9;17.3;16.8;16.4;16;15.6;15.2;14.9;14.5;14.2;14;13.7;13.5;13.4;13.2;13;12.7;12.5;12.2;11.8
Guadeloupe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.93;29.38;27.91;26.51;25.19;23.94;22.75;21.62;20.55;19.54;18.58;17.66;16.8;15.98;15.2;14.47;13.76;13.1;12.47;11.87;11.29;10.75;10.23;9.73;9.26;8.82;8.41;8.03;7.68;7.37;7.07;6.79;6.53;6.27;6.02;5.77
Guam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.03;36.58;35.22;33.93;32.72;31.58;30.51;29.49;28.52;27.6;26.69;25.79;24.89;23.99;23.08;22.16;21.22;20.29;19.37;18.47;17.61;16.81;16.08;15.41;14.82;14.28;13.8;13.36;12.94;12.54;12.15;11.76;11.39;11.03;10.69;10.36
Guatemala;395.32;381.06;367.19;353.7;340.57;327.78;315.31;303.17;295.21;287.45;279.9;272.54;265.38;258.41;251.62;245.01;238.57;232.3;227.6;223;218.5;214.1;209.9;205.7;201.5;197.1;192.8;188.3;183.8;179;174.1;169;164;159;154;149;144.1;139.2;134.4;129.6;124.8;120.1;115.5;110.9;106.5;102;97.6;93.3;89;84.9;80.9;77;73.3;69.7;66.4;63.3;60.4;57.7;55.1;52.8;50.6;48.6;46.6;44.8;43.1;41.4;39.9;38.4;36.9;35.7;34.5;33.3;32.1;31.1;30.1;29.1
Guernsey;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guinea;359.1;359.6;360.1;360.6;360.9;361.6;362;362.6;362.7;363;363.1;362.8;362.8;362.7;362.1;361.2;360;358.9;357.1;355.3;353.3;351.3;349;346.8;344.3;341.9;339;336.2;333.3;330.2;327.2;324.1;320.8;317.5;313.9;310.1;305.9;301.4;296.7;291.9;286.9;282.2;277.4;272.6;267.8;263.1;258.4;253.6;248.8;243.7;238.2;232.4;226.2;219.7;212.9;205.9;199;192;184.8;177.5;170.2;162.9;155.8;149;142.7;136.7;131.2;125.9;121;116.3;111.9;107.7;104;100.4;97;93.7
Guinea-Bissau;342.18;335.65;329.25;322.97;316.81;310.76;304.83;299.01;293.31;287.71;282.22;281.93;281.73;281.54;281.45;281.35;280.86;280.47;279.89;279.3;278.72;277.94;276.97;275.91;274.26;273.1;271.95;270.7;269.07;267.44;265.53;263.52;261.33;259.34;257.16;254.88;252.62;250.26;247.82;244.91;241.91;237.81;233.94;230.29;226.82;223.51;246.7;242.2;237.5;233.3;229.3;224.9;220.3;215.5;210.4;205.5;200.1;194.6;188.9;183.3;177.5;171.5;165.3;159;152.6;146.2;139.9;133.6;127.6;121.6;115.9;110.4;105.2;100.5;96.2;92.5
Guyana;204.74;158.87;190.78;301.99;291.66;204.97;172.02;168.42;168.56;165.3;157.7;150.2;143;135.9;128.8;121.8;115.2;108.9;103.2;98;93.3;89.2;85.7;82.8;80.4;78.5;77;75.9;74.9;74.3;73.9;73.6;73.4;73.2;73;72.7;72.4;72;71.5;71;70.4;69.8;69.2;68.5;67.7;66.8;65.8;64.7;63.3;61.9;60.4;58.8;57.2;55.6;54.1;52.7;51.4;50.2;49;47.8;46.7;45.6;44.8;44;43.4;42.8;42.4;42.1;41.9;41.7;41.5;41.4;41.2;40.8;40.2;39.4
Haiti;390.23;384.81;379.46;374.18;368.98;363.85;358.79;353.8;348.88;344.03;339.25;334.53;329.88;325.29;320.76;316.3;311.9;306.7;301.4;296.3;291.4;286.6;281.9;277.3;273;268.5;263.9;259.2;254.6;249.9;245.1;240.1;234.8;229.4;224;218.4;213;207.5;202.2;196.9;191.9;186.9;181.9;177;172.2;167.6;163;158.5;154.2;150;145.8;141.7;137.6;133.3;129.1;124.9;120.7;116.5;112.4;108.5;104.8;101.3;98.1;95.1;92.4;90;87.7;85.5;83.3;81.2;208.8;77.2;75.2;73.1;71;69
Holy See;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Honduras;318.43;314.4;309.37;305.43;300.51;296.63;291.83;286.2;280.68;275.27;269.96;264.76;259.65;254.65;249.74;244.92;240.2;232.3;224.6;217.2;210.2;203.4;196.8;190.3;184.2;177.8;171.6;165.6;159.6;153.7;147.9;142.2;136.6;131.2;125.7;120.5;115.3;110.3;105.3;100.4;95.7;91.1;86.7;82.5;78.4;74.6;70.9;67.4;64.2;61.1;58.2;55.5;52.9;50.6;48.4;46.4;44.4;42.6;60;39.1;37.4;35.8;34.2;32.7;31.3;30;28.8;27.6;26.5;25.4;24.4;23.5;22.6;21.8;21.1;20.4
Hong Kong, China;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.81;13.93;13.11;12.34;11.61;10.92;10.27;9.66;9.09;8.55;8.05;7.57;7.12;6.69;6.29;5.92;5.57;5.25;4.95;4.67;4.42;4.2;3.99;3.8;3.62;3.46;3.32;3.19;3.06;2.95;2.85;2.75;2.67;2.58;2.5;2.42
Hungary;203.53;177.4;208.96;177.28;219.51;271.8;178.95;153.06;136.75;131.39;116.28;102.92;91.08;80.61;72.2;72.5;72.3;70.5;66.9;62.9;59.4;56.6;54.3;52.3;50.6;49;47.6;46.2;45;43.8;42.7;42.1;42;42.2;41.6;39.1;35.5;32.1;29.7;27.7;26.1;24.8;24.2;24.2;24.2;23.7;22.8;21.6;20.5;19.6;18.9;18.2;17.3;16;14.7;13.8;13.1;12.7;12.2;11.7;11.2;10.5;9.9;9.3;8.7;8.3;7.9;7.5;7.2;6.8;6.6;6.4;6.3;6.3;6.2;6.2
